Entry,Accession,Trait,Latitude,Longitude,Group,Photoperiod,Value
M. sinensis 'Sugadaira 2.4',UI11-00002.4,50% flower,36,138.12,C Japan Msi,12.5,
M. sinensis 'Teshio 3.3',UI11-00003.3,50% flower,44.91666667,141.9833333,N Japan Msi,12.5,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,50% flower,40.21601,140.22625,N Japan Msi,12.5,
M. sinensis 'Uruma-1b',OKA-2010-002,50% flower,26.340312,127.854968,SE China Msi,12.5,
M. sinensis var. condensatus 'Cabaret',UI10-00012,50% flower,,,C Japan Msi,12.5,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,50% flower,30.87438333,120.1449,,12.5,
M. ×giganteus 'Illinois',UI10-00107,50% flower,,,,15,160.3333333
M. floridulus  'NG77-022',PI417947,50% flower,-3.55,143.6333333,SE China Msi,15,179
M. floridulus 'US56-0022-03',PI230189,50% flower,-20.91,165.33,SE China Msi,15,
M. sacchariflorus 'Hortico',UI10-00008,50% flower,,,NE China/Korea/Russia 2x Msa,15,88.33333333
M. sinensis 'EBI-2008-32a',EBI-2008-32a,50% flower,43.3931,141.43225,N Japan Msi,15,113.3333333
M. sinensis 'EBI-2008-51c',EBI-2008-51c,50% flower,43.44818333,142.64555,N Japan Msi,15,149
M. sinensis 'Flamingo',UI10-00041,50% flower,,,C Japan Msi,15,147.3333333
M. sinensis 'Gracillimus',UI10-00048,50% flower,,,S Japan Msi,15,240
M. sinensis 'Koike-11a',Koike-11a,50% flower,38,138.36,C Japan Msi,15,145.3333333
M. sinensis 'Koike-12b',Koike-12b,50% flower,36.7,137.19,C Japan Msi,15,144
M. sinensis 'Koike-21c',Koike-21c,50% flower,32.16,130.39,S Japan Msi,15,188.6666667
M. sinensis 'Miyazaki 1.5',UI11-00001.5,50% flower,31.83,131.42,S Japan Msi,15,215
M. sinensis 'Nippon',UI10-00074,50% flower,,,S Japan Msi,15,82.33333333
M. sinensis 'Onna-1',OKA-2010-001,50% flower,26.44585,127.806144,SE China Msi,15,294
M. sinensis 'PMS-130',PMS-130,50% flower,33.45548333,105.1373833,Yangtze-Qinling Msi,15,163.6666667
M. sinensis 'PMS-159',PMS-159,50% flower,34.12948333,111.04395,Yangtze-Qinling Msi,15,112
M. sinensis 'PMS-161',PMS-161,50% flower,35.72196667,112.3247667,Yangtze-Qinling Msi,15,148.6666667
M. sinensis 'PMS-164',PMS-164,50% flower,37.34001667,114.2810333,Yangtze-Qinling Msi,15,144
M. sinensis 'PMS-204',PMS-204,50% flower,31.70131667,114.8741167,Yangtze-Qinling Msi,15,189
M. sinensis 'PMS-226',PMS-226,50% flower,26.62055,106.75145,Sichuan Msi,15,222
M. sinensis 'PMS-306',PMS-306,50% flower,29.89176667,119.8417167,Yangtze-Qinling Msi,15,200
M. sinensis 'PMS-314',PMS-314,50% flower,26.52793333,119.6324333,Yangtze-Qinling Msi,15,179
M. sinensis 'PMS-347',PMS-347,50% flower,24.16798333,115.8838667,SE China Msi,15,
M. sinensis 'PMS-359',PMS-359,50% flower,22.91336667,112.3369667,SE China Msi,15,
M. sinensis 'PMS-375',PMS-375,50% flower,19.63043333,110.2908833,SE China Msi,15,
M. sinensis 'PMS-382',PMS-382,50% flower,18.90558333,109.5137833,SE China Msi,15,
M. sinensis 'PMS-436',PMS-436,50% flower,41.31701667,123.7384,"Korea, N China Msi",15,130.6666667
M. sinensis 'PMS-438',PMS-438,50% flower,41.32883333,123.6902667,"Korea, N China Msi",15,106
M. sinensis 'Sugadaira 2.4',UI11-00002.4,50% flower,36,138.12,C Japan Msi,15,111.6666667
M. sinensis 'Teshio 3.3',UI11-00003.3,50% flower,44.91666667,141.9833333,N Japan Msi,15,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,50% flower,40.21601,140.22625,N Japan Msi,15,144
M. sinensis 'Uruma-1b',OKA-2010-002,50% flower,26.340312,127.854968,SE China Msi,15,
M. sinensis var. condensatus 'Cabaret',UI10-00012,50% flower,,,C Japan Msi,15,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,50% flower,30.87438333,120.1449,,15,228
M. ×giganteus 'Illinois',UI10-00107,50% head,,,,10,119
M. floridulus  'NG77-022',PI417947,50% head,-3.55,143.6333333,SE China Msi,10,
M. floridulus 'US56-0022-03',PI230189,50% head,-20.91,165.33,SE China Msi,10,
M. sacchariflorus 'Hortico',UI10-00008,50% head,,,NE China/Korea/Russia 2x Msa,10,
M. sinensis 'EBI-2008-32a',EBI-2008-32a,50% head,43.3931,141.43225,N Japan Msi,10,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,50% head,43.44818333,142.64555,N Japan Msi,10,
M. sinensis 'Flamingo',UI10-00041,50% head,,,C Japan Msi,10,
M. sinensis 'Gracillimus',UI10-00048,50% head,,,S Japan Msi,10,
M. sinensis 'Koike-11a',Koike-11a,50% head,38,138.36,C Japan Msi,10,
M. sinensis 'Koike-12b',Koike-12b,50% head,36.7,137.19,C Japan Msi,10,
M. sinensis 'Koike-21c',Koike-21c,50% head,32.16,130.39,S Japan Msi,10,
M. sinensis 'Miyazaki 1.5',UI11-00001.5,50% head,31.83,131.42,S Japan Msi,10,
M. sinensis 'Nippon',UI10-00074,50% head,,,S Japan Msi,10,
M. sinensis 'Onna-1',OKA-2010-001,50% head,26.44585,127.806144,SE China Msi,10,
M. sinensis 'PMS-130',PMS-130,50% head,33.45548333,105.1373833,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-159',PMS-159,50% head,34.12948333,111.04395,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-161',PMS-161,50% head,35.72196667,112.3247667,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-164',PMS-164,50% head,37.34001667,114.2810333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-204',PMS-204,50% head,31.70131667,114.8741167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-226',PMS-226,50% head,26.62055,106.75145,Sichuan Msi,10,60.66666667
M. sinensis 'PMS-306',PMS-306,50% head,29.89176667,119.8417167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-314',PMS-314,50% head,26.52793333,119.6324333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-347',PMS-347,50% head,24.16798333,115.8838667,SE China Msi,10,94.5
M. sinensis 'PMS-359',PMS-359,50% head,22.91336667,112.3369667,SE China Msi,10,70
M. sinensis 'PMS-375',PMS-375,50% head,19.63043333,110.2908833,SE China Msi,10,
M. sinensis 'PMS-382',PMS-382,50% head,18.90558333,109.5137833,SE China Msi,10,105
M. sinensis 'PMS-436',PMS-436,50% head,41.31701667,123.7384,"Korea, N China Msi",10,
M. sinensis 'PMS-438',PMS-438,50% head,41.32883333,123.6902667,"Korea, N China Msi",10,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,50% head,36,138.12,C Japan Msi,10,
M. sinensis 'Teshio 3.3',UI11-00003.3,50% head,44.91666667,141.9833333,N Japan Msi,10,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,50% head,40.21601,140.22625,N Japan Msi,10,
M. sinensis 'Uruma-1b',OKA-2010-002,50% head,26.340312,127.854968,SE China Msi,10,
M. sinensis var. condensatus 'Cabaret',UI10-00012,50% head,,,C Japan Msi,10,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,50% head,30.87438333,120.1449,,10,
M. ×giganteus 'Illinois',UI10-00107,50% head,,,,12.5,120.25
M. floridulus  'NG77-022',PI417947,50% head,-3.55,143.6333333,SE China Msi,12.5,112
M. floridulus 'US56-0022-03',PI230189,50% head,-20.91,165.33,SE China Msi,12.5,144.6666667
M. sacchariflorus 'Hortico',UI10-00008,50% head,,,NE China/Korea/Russia 2x Msa,12.5,49
M. sinensis 'EBI-2008-32a',EBI-2008-32a,50% head,43.3931,141.43225,N Japan Msi,12.5,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,50% head,43.44818333,142.64555,N Japan Msi,12.5,42
M. sinensis 'Flamingo',UI10-00041,50% head,,,C Japan Msi,12.5,
M. sinensis 'Gracillimus',UI10-00048,50% head,,,S Japan Msi,12.5,
M. sinensis 'Koike-11a',Koike-11a,50% head,38,138.36,C Japan Msi,12.5,
M. sinensis 'Koike-12b',Koike-12b,50% head,36.7,137.19,C Japan Msi,12.5,
M. sinensis 'Koike-21c',Koike-21c,50% head,32.16,130.39,S Japan Msi,12.5,67.66666667
M. sinensis 'Miyazaki 1.5',UI11-00001.5,50% head,31.83,131.42,S Japan Msi,12.5,77.66666667
M. sinensis 'Nippon',UI10-00074,50% head,,,S Japan Msi,12.5,56
M. sinensis 'Onna-1',OKA-2010-001,50% head,26.44585,127.806144,SE China Msi,12.5,
M. sinensis 'PMS-130',PMS-130,50% head,33.45548333,105.1373833,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-159',PMS-159,50% head,34.12948333,111.04395,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-161',PMS-161,50% head,35.72196667,112.3247667,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-164',PMS-164,50% head,37.34001667,114.2810333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-204',PMS-204,50% head,31.70131667,114.8741167,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-226',PMS-226,50% head,26.62055,106.75145,Sichuan Msi,12.5,81.66666667
M. sinensis 'PMS-306',PMS-306,50% head,29.89176667,119.8417167,Yangtze-Qinling Msi,12.5,165
M. sinensis 'PMS-314',PMS-314,50% head,26.52793333,119.6324333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-347',PMS-347,50% head,24.16798333,115.8838667,SE China Msi,12.5,99
M. sinensis 'PMS-359',PMS-359,50% head,22.91336667,112.3369667,SE China Msi,12.5,90.33333333
M. sinensis 'PMS-375',PMS-375,50% head,19.63043333,110.2908833,SE China Msi,12.5,144
M. sinensis 'PMS-382',PMS-382,50% head,18.90558333,109.5137833,SE China Msi,12.5,197.3333333
M. sinensis 'PMS-436',PMS-436,50% head,41.31701667,123.7384,"Korea, N China Msi",12.5,
